date,open_ibova,open_oil,open_usd,open_petr4,open_vale
22/09/2011,55981,9.853347778,12.59021378,20.02000046,45.40000153
23/09/2011,53273,9.935311317,12.70405006,19.51000023,44.43000031
26/09/2011,53243,9.675168037,12.64940929,19.35000038,44.59999847
27/09/2011,53751,9.888983727,13.05921745,20.09000015,45.11999893
28/09/2011,53921,9.946002007,13.31876183,19.57999992,44.36000061
29/09/2011,53276,10.04578209,13.40983009,19.47999954,44.40000153
30/09/2011,53385,9.899675369,13.20492554,19.18000031,43.09999847
03/10/2011,52319,9.746439934,13.13662529,18.95999908,41.95000076
04/10/2011,50790,9.514805794,12.92716694,18.25,40.90999985
05/10/2011,50683,9.675168037,12.84065247,18.39999962,41.15000153
06/10/2011,51016,9.903238297,13.29599476,18.48999977,42.86000061
07/10/2011,52290,9.942438126,13.52366638,19.06999969,42.84000015
10/10/2011,51244,9.728622437,13.34152889,18.5,41.75
11/10/2011,53271,9.931747437,13.65571499,18.70000076,42.40000153
13/10/2011,53836,10.19901657,14.16569901,19.39999962,43.40000153
14/10/2011,54603,10.38788795,14.22944641,19.54999924,44
17/10/2011,55021,10.12061787,14.09284401,19.45000076,42.74000168
18/10/2011,53915,10.12061787,14.17025185,19.45000076,40.86999893
19/10/2011,55037,10.43777847,14.28408813,19.44000053,41.40000153
20/10/2011,54953,10.30948925,14.52541924,19.18000031,40.02999878
21/10/2011,54014,10.42708683,14.4798851,18.95999908,40.06000137
24/10/2011,55259,10.69079399,14.71210861,19.27000046,41.34999847
25/10/2011,56885,10.88679218,14.9989748,19.27000046,42.95000076
26/10/2011,56306,10.88679218,14.9989748,19.27000046,42.95000076
27/10/2011,57146,10.88679218,14.9989748,19.27000046,42.95000076
28/10/2011,59270,11.36787701,15.24941254,20.67000008,44.38000107
31/10/2011,59513,11.12911606,14.95344067,20.85000038,43.79000092
01/11/2011,58300,10.58388615,14.29774761,20.39999962,41.93000031
03/11/2011,57327,11.15406132,14.93522739,21.55999947,43.75
04/11/2011,58186,10.96519089,14.62559414,21.72999954,44.40999985
07/11/2011,58670,11.04358959,14.93522739,22.04999924,45.5
08/11/2011,59205,11.1041708,14.94888687,22.79999924,46.45000076
09/11/2011,59011,10.85828304,14.49809837,22.01000023,45.15000153
10/11/2011,57561,10.94024467,14.4480114,21.45999908,44.95999908
11/11/2011,57325,10.85828304,14.52541924,21.88999939,45.31000137
14/11/2011,58539,10.92599106,14.55729294,21.86000061,45.20000076
16/11/2011,58256,10.92599106,14.52997208,21.95999908,45.27999878
17/11/2011,58550,10.96162701,14.42979717,21.95999908,45.29999924
18/11/2011,56989,10.76206589,14.16114521,21.70000076,44.59999847
21/11/2011,56722,10.27741623,13.57830715,21.40999985,43.45000076
22/11/2011,56290,10.2738533,13.66026878,21.73999977,44.09000015
23/11/2011,55879,10.06716442,13.50089931,21.48999977,42.83000183
24/11/2011,54978,10.10280037,13.56919956,21.73999977,42.79000092
25/11/2011,55271,9.942438126,13.34152889,21.47999954,42.02000046
28/11/2011,54899,10.22396183,13.79687119,21.51000023,42.49000168
29/11/2011,56028,10.22752571,13.88794041,21.52000046,42.09999847
30/11/2011,55307,10.37007046,14.07007694,21.79999924,41.40000153
01/12/2011,56876,10.79413795,14.88969326,22.32999992,42.27999878
02/12/2011,58147,11.08991718,15.26307392,22.62000084,42.38999939
05/12/2011,57894,11.08278942,15.29950142,22.73999977,42.88999939
06/12/2011,58910,11.02933502,15.31771469,22.81999969,43.00999832
07/12/2011,59534,11.05071735,15.32682133,23.34000015,42.99000168
08/12/2011,58664,11.12555313,15.56815338,23.35000038,41.40999985
09/12/2011,57455,11.06497097,15.47708416,22.70999908,40.70999908
12/12/2011,58235,11.12911606,15.57270622,23.02000046,41.22999954
13/12/2011,57355,11.01151657,15.50440502,22.59000015,40.84999847
14/12/2011,57495,10.87966442,15.33137512,22.35000038,40.34999847
15/12/2011,56647,10.89035511,15.4133358,22.04999924,39.93999863
16/12/2011,56334,10.59457588,15.11736393,21.60000038,39.5
19/12/2011,56100,10.53043175,15.07638264,21.37000084,39.15000153
20/12/2011,55301,10.79770184,15.2084322,21.39999962,38.95000076
21/12/2011,56865,10.86540985,15.25396729,21.89999962,39.68999863
22/12/2011,56656,10.9723177,15.44976425,22.07999992,40.20000076
23/12/2011,57348,11.13624287,15.75484276,22.27000046,40.90999985
26/12/2011,57702,11.14693356,15.82314491,22.29999924,41
27/12/2011,57666,11.01151657,15.64100838,22.17000008,40.54000092
28/12/2011,58006,11.02577209,15.61824131,22.23999977,41
29/12/2011,56534,10.96519089,15.34048176,21.59000015,39.97000122
03/01/2012,57836,11.04715347,15.58181286,21.51000023,39.77000046
